"","X","rep","processing","sweetener","tiempo","compound","concentration","Temp"
"178","SU1_rep3","rep3","1","SU",1.001,"Delphinidin.3.5.O.diglucoside",3.89,20
"179","SU2_rep3","rep3","2","SU",1.001,"Delphinidin.3.5.O.diglucoside",3.97,4
"180","SUP_rep3","rep3","P","SU",1.001,"Delphinidin.3.5.O.diglucoside",5.36,20
"181","ST1_rep1","rep1","1","ST",8.001,"Delphinidin.3.5.O.diglucoside",3.51,4
"182","ST2_rep1","rep1","2","ST",8.001,"Delphinidin.3.5.O.diglucoside",2.97,20
"183","STP_rep1","rep1","P","ST",8.001,"Delphinidin.3.5.O.diglucoside",4.88,4
"184","SU1_rep1","rep1","1","SU",8.001,"Delphinidin.3.5.O.diglucoside",3,20
"185","SU2_rep1","rep1","2","SU",8.001,"Delphinidin.3.5.O.diglucoside",3.45,4
"186","SUP_rep1","rep1","P","SU",8.001,"Delphinidin.3.5.O.diglucoside",3.9,20
"187","ST1_rep2","rep2","1","ST",8.001,"Delphinidin.3.5.O.diglucoside",3.53,4
"188","ST2_rep2","rep2","2","ST",8.001,"Delphinidin.3.5.O.diglucoside",2.96,20
"189","STP_rep2","rep2","P","ST",8.001,"Delphinidin.3.5.O.diglucoside",4.91,4
"190","SU1_rep2","rep2","1","SU",8.001,"Delphinidin.3.5.O.diglucoside",2.94,20
"191","SU2_rep2","rep2","2","SU",8.001,"Delphinidin.3.5.O.diglucoside",3.41,4
"192","SUP_rep2","rep2","P","SU",8.001,"Delphinidin.3.5.O.diglucoside",3.95,20
"193","ST1_rep3","rep3","1","ST",8.001,"Delphinidin.3.5.O.diglucoside",3.74,4
"194","ST2_rep3","rep3","2","ST",8.001,"Delphinidin.3.5.O.diglucoside",2.92,20
"195","STP_rep3","rep3","P","ST",8.001,"Delphinidin.3.5.O.diglucoside",4.86,4
"196","SU1_rep3","rep3","1","SU",8.001,"Delphinidin.3.5.O.diglucoside",2.93,20
"197","SU2_rep3","rep3","2","SU",8.001,"Delphinidin.3.5.O.diglucoside",3.43,4
"198","SUP_rep3","rep3","P","SU",8.001,"Delphinidin.3.5.O.diglucoside",4.05,20
"199","ST1_rep1","rep1","1","ST",16.001,"Delphinidin.3.5.O.diglucoside",3.41,4
"200","ST2_rep1","rep1","2","ST",16.001,"Delphinidin.3.5.O.diglucoside",2.43,20
"201","STP_rep1","rep1","P","ST",16.001,"Delphinidin.3.5.O.diglucoside",4.58,4
"202","SU1_rep1","rep1","1","SU",16.001,"Delphinidin.3.5.O.diglucoside",2.29,20
"203","SU2_rep1","rep1","2","SU",16.001,"Delphinidin.3.5.O.diglucoside",3.27,4
"204","SUP_rep1","rep1","P","SU",16.001,"Delphinidin.3.5.O.diglucoside",3.31,20
"205","ST1_rep2","rep2","1","ST",16.001,"Delphinidin.3.5.O.diglucoside",3.47,4
"206","ST2_rep2","rep2","2","ST",16.001,"Delphinidin.3.5.O.diglucoside",2.37,20
"207","STP_rep2","rep2","P","ST",16.001,"Delphinidin.3.5.O.diglucoside",4.86,4
"208","SU1_rep2","rep2","1","SU",16.001,"Delphinidin.3.5.O.diglucoside",2.34,20
"209","SU2_rep2","rep2","2","SU",16.001,"Delphinidin.3.5.O.diglucoside",3.16,4
"210","SUP_rep2","rep2","P","SU",16.001,"Delphinidin.3.5.O.diglucoside",3.68,20
"211","ST1_rep3","rep3","1","ST",16.001,"Delphinidin.3.5.O.diglucoside",3.38,4
"212","ST2_rep3","rep3","2","ST",16.001,"Delphinidin.3.5.O.diglucoside",2.52,20
"213","STP_rep3","rep3","P","ST",16.001,"Delphinidin.3.5.O.diglucoside",4.57,4
"214","SU1_rep3","rep3","1","SU",16.001,"Delphinidin.3.5.O.diglucoside",2.22,20
"215","SU2_rep3","rep3","2","SU",16.001,"Delphinidin.3.5.O.diglucoside",3.19,4
"216","SUP_rep3","rep3","P","SU",16.001,"Delphinidin.3.5.O.diglucoside",2.92,20
"217","ST1_rep1","rep1","1","ST",31.001,"Delphinidin.3.5.O.diglucoside",3.03,4
"218","ST2_rep1","rep1","2","ST",31.001,"Delphinidin.3.5.O.diglucoside",1.76,20
"219","STP_rep1","rep1","P","ST",31.001,"Delphinidin.3.5.O.diglucoside",4.35,4
"220","SU1_rep1","rep1","1","SU",31.001,"Delphinidin.3.5.O.diglucoside",1.55,20
"221","SU2_rep1","rep1","2","SU",31.001,"Delphinidin.3.5.O.diglucoside",3.04,4
"222","SUP_rep1","rep1","P","SU",31.001,"Delphinidin.3.5.O.diglucoside",1.71,20
"223","ST1_rep2","rep2","1","ST",31.001,"Delphinidin.3.5.O.diglucoside",3.13,4
"224","ST2_rep2","rep2","2","ST",31.001,"Delphinidin.3.5.O.diglucoside",1.84,20
"225","STP_rep2","rep2","P","ST",31.001,"Delphinidin.3.5.O.diglucoside",4.5,4
"226","SU1_rep2","rep2","1","SU",31.001,"Delphinidin.3.5.O.diglucoside",1.53,20
"227","SU2_rep2","rep2","2","SU",31.001,"Delphinidin.3.5.O.diglucoside",2.92,4
"228","SUP_rep2","rep2","P","SU",31.001,"Delphinidin.3.5.O.diglucoside",1.94,20
"229","ST1_rep3","rep3","1","ST",31.001,"Delphinidin.3.5.O.diglucoside",3.12,4
"230","ST2_rep3","rep3","2","ST",31.001,"Delphinidin.3.5.O.diglucoside",1.68,20
"231","STP_rep3","rep3","P","ST",31.001,"Delphinidin.3.5.O.diglucoside",4.28,4
"232","SU1_rep3","rep3","1","SU",31.001,"Delphinidin.3.5.O.diglucoside",1.58,20
"233","SU2_rep3","rep3","2","SU",31.001,"Delphinidin.3.5.O.diglucoside",2.97,4
"234","SUP_rep3","rep3","P","SU",31.001,"Delphinidin.3.5.O.diglucoside",1.78,20
"235","ST1_rep1","rep1","1","ST",46.001,"Delphinidin.3.5.O.diglucoside",3.05,4
"236","ST2_rep1","rep1","2","ST",46.001,"Delphinidin.3.5.O.diglucoside",1.55,20
"237","STP_rep1","rep1","P","ST",46.001,"Delphinidin.3.5.O.diglucoside",3.77,4
"238","SU1_rep1","rep1","1","SU",46.001,"Delphinidin.3.5.O.diglucoside",1.51,20
"239","SU2_rep1","rep1","2","SU",46.001,"Delphinidin.3.5.O.diglucoside",2.67,4
"240","SUP_rep1","rep1","P","SU",46.001,"Delphinidin.3.5.O.diglucoside",1.36,20
